2019-11-05 16:10:42,b'Is the #Condo Boom About to Cross the Harlem River? - What\xe2\x80\x99s Happening in the #Bronx https://t.co/vtlGUOLDqW'
2019-11-05 16:08:20,"b'RT @writersofwrongs: #OTD in 1930: A double-murder in the #Bronx throws #Mafia chief ""Joe the Boss"" Masseria on the defensive. #mafiahistor\xe2\x80\xa6'"
2019-11-05 16:06:32,"b'RT @NYPDPBBronx: This year the #Bronx Veteran\xe2\x80\x99s Day Parade is scheduled for Sunday November 10th, 2019. This year Detective Roberto Oviedo\xe2\x80\xa6'"
2019-11-05 16:06:15,b'RT @CRANewYorkState: Last night\xe2\x80\x99s @CRANewYorkState event in NYC was a huge success!These two lovely ladies from the #Bronx sat down with @C\xe2\x80\xa6'
2019-11-05 16:02:54,b'.@harleydavidson also debuted the #Bronx streetfighter at #EICMA2019 https://t.co/V2kuqbkj6t'
2019-11-05 16:02:14,b'RT @MarlenaFitz: Parkchester- Purdy st center! Ballot machines are not working! let\xe2\x80\x99s make sure these ballots are counted!!!! \xf0\x9f\x98\xb1\xf0\x9f\xa4\xac #VoteOnNov\xe2\x80\xa6'
2019-11-05 16:02:10,"b'With over 115 horsepower and 95Nm of torque, the #Bronx promises to be as exciting as it looks.\xe2\x80\xa6 https://t.co/rNunISy3OY'"
2019-11-05 16:01:18,b'BUY YOUR EARLY BIRD TICKETS \xf0\x9f\x8e\x9f \nOR BOTTLE PACKAGE \xf0\x9f\x8d\xbe NOW \nBEFORE THE DEADLINE 11/16......\xf0\x9f\x93\x9e\nhttps://t.co/ztOElwnhTP\xe2\x80\xa6 https://t.co/7ZmlbstfvM'
2019-11-05 16:01:07,"b""Moist, sweet, boozy, &amp; irresistible -- yup, they're Island Love Cakes !!\n\nInstead of licking your phone screen, cat\xe2\x80\xa6 https://t.co/xLw1GihXSK"""
2019-11-05 15:58:39,b'#Bronx #NewYork The voting purge has begun. \nhttps://t.co/ml7ymd3q8l'
2019-11-05 15:56:00,"b'A hit with readers and critics alike. 1977, New York City. Ex-Green Beret Will Kane is drawn into an explosive mix\xe2\x80\xa6 https://t.co/txF9tVugJb'"
2019-11-05 15:52:05,b'RT @Harley_D_JP: More Roads &amp; Excitements.\n\n#\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\xac\xe3\x83\xbc #harley #\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\xac\xe3\x83\xbc\xe3\x83\x80\xe3\x83\x93\xe3\x83\x83\xe3\x83\x89\xe3\x82\xbd\xe3\x83\xb3 #harleydavidson #\xe3\x83\x90\xe3\x82\xa4\xe3\x82\xaf #bike #\xe3\x82\xaa\xe3\x83\xbc\xe3\x83\x88\xe3\x83\x90\xe3\x82\xa4 #motorcycle #panamerica #adventuret\xe2\x80\xa6'
2019-11-05 15:50:08,"b""Honored to have #Bronx Borough President @rubendiazjr on our new ep!\n\nWe talk about the Nike/MLB deal, his office's\xe2\x80\xa6 https://t.co/nTJSPWLjsq"""
2019-11-05 15:41:02,"b'Go green with vegan eyecit54, Man from #Bronx, 44 years https://t.co/pdc5xhK6xh'"
2019-11-05 15:35:40,"b'RT @SenatorBiaggi: New affordable senior housing available in the #Bronx, that caters specifically to older members of the LGBTQ+ community\xe2\x80\xa6'"
2019-11-05 15:30:21,b'RT @Harley_D_JP: More Roads &amp; Excitements.\n\n#\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\xac\xe3\x83\xbc #harley #\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\xac\xe3\x83\xbc\xe3\x83\x80\xe3\x83\x93\xe3\x83\x83\xe3\x83\x89\xe3\x82\xbd\xe3\x83\xb3 #harleydavidson #\xe3\x83\x90\xe3\x82\xa4\xe3\x82\xaf #bike #\xe3\x82\xaa\xe3\x83\xbc\xe3\x83\x88\xe3\x83\x90\xe3\x82\xa4 #motorcycle #panamerica #adventuret\xe2\x80\xa6'
2019-11-05 15:30:04,b'Armory in the morning \n\nWest Kingsbridge Road &amp; Jerome Avenue \n\n#thebronx #bronx #thebx #bx #boogiedownbronx\xe2\x80\xa6 https://t.co/53WzCG3M3Z'
2019-11-05 15:30:02,"b'RT @future4learning: How do issues of race, class, religion, and sexual orientation live within us?\nWatch this 3.5-min film with #Bronx nat\xe2\x80\xa6'"
2019-11-05 15:30:00,"b'RT @NYPDPBBronx: This year the #Bronx Veteran\xe2\x80\x99s Day Parade is scheduled for Sunday November 10th, 2019. This year Detective Roberto Oviedo\xe2\x80\xa6'"
2019-11-05 15:29:43,b'RT @Harley_D_JP: More Roads &amp; Excitements.\n\n#\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\xac\xe3\x83\xbc #harley #\xe3\x83\x8f\xe3\x83\xbc\xe3\x83\xac\xe3\x83\xbc\xe3\x83\x80\xe3\x83\x93\xe3\x83\x83\xe3\x83\x89\xe3\x82\xbd\xe3\x83\xb3 #harleydavidson #\xe3\x83\x90\xe3\x82\xa4\xe3\x82\xaf #bike #\xe3\x82\xaa\xe3\x83\xbc\xe3\x83\x88\xe3\x83\x90\xe3\x82\xa4 #motorcycle #panamerica #adventuret\xe2\x80\xa6'
2019-11-05 15:28:12,"b'With over 115 horsepower and 95Nm of torque, the #Bronx promises to be as exciting as it looks. https://t.co/nifEMXSOt6'"
2019-11-05 15:27:47,b'RT @jacktshannon: It\xe2\x80\x99s Day Two of the #JackHitsTheRoad for @FromCBU tour.  I\xe2\x80\x99ll be leaving #Albany shortly for a visit to @LSICadets in #Tr\xe2\x80\xa6'
2019-11-05 15:27:19,"b'RT @writersofwrongs: #OTD in 1930: A double-murder in the #Bronx throws #Mafia chief ""Joe the Boss"" Masseria on the defensive. #mafiahistor\xe2\x80\xa6'"
2019-11-05 15:25:40,b'RT @fr33thasinner: \xe2\x80\x9cThe Othaside\xe2\x80\x9d available now on #Soundcloud \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n.\nListen Now \n.\n.\n#music #rapper #soundcloudrapper #lofihiphop #bronx #b\xe2\x80\xa6'
